,Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,RC,DRC,PC,DPC,Domain,Vocabulary
,45609625,V91.12XS,"Crushed between fishing boat and other watercraft or other object due to collision, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609620,V90.28XS,"Drowning and submersion due to falling or jumping from other burning unpowered watercraft, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609618,V90.03XS,"Drowning and submersion due to other powered watercraft overturning, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609617,V90.00XS,"Drowning and submersion due to merchant ship overturning, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609602,V85.7XXA,"Person on outside of special construction vehicle injured in nontraffic accident, initial encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609597,V81.9XXA,"Occupant of railway train or railway vehicle injured in unspecified railway accident, initial encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609596,V81.3XXA,"Occupant of railway train or railway vehicle injured in collision with other object, initial encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609595,V81.2XXS,"Occupant of railway train or railway vehicle injured in collision with or hit by rolling stock, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609594,V81.1XXD,"Occupant of railway train or railway vehicle injured in collision with motor vehicle in traffic accident, subsequent encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609593,V80.920S,"Occupant of animal-drawn vehicle injured in transport accident with military vehicle, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609590,V80.910S,"Animal-rider injured in transport accident with military vehicle, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609584,V80.11XS,"Animal-rider injured in collision with pedestrian or animal, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609460,V19.88XD,"Pedal cyclist (driver) (passenger) injured in other specified transport accidents, subsequent encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609456,V19.3XXS,"Pedal cyclist (driver) (passenger) injured in unspecified nontraffic accident, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609453,V18.9XXS,"Unspecified pedal cyclist injured in noncollision transport accident in traffic accident, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609451,V17.4XXS,"Pedal cycle driver injured in collision with fixed or stationary object in traffic accident, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609448,V15.3XXA,"Person boarding or alighting a pedal cycle injured in collision with railway train or railway vehicle, initial encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609443,V13.3XXD,"Person boarding or alighting a pedal cycle injured in collision with car, pick-up truck or van, subsequent encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609440,V11.9XXS,"Unspecified pedal cyclist injured in collision with other pedal cycle in traffic accident, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609439,V10.9XXS,"Unspecified pedal cyclist injured in collision with pedestrian or animal in traffic accident, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609438,V10.4XXS,"Pedal cycle driver injured in collision with pedestrian or animal in traffic accident, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609437,V09.3XXS,"Pedestrian injured in unspecified traffic accident, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609432,V06.99XS,"Pedestrian with other conveyance injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609431,V06.92XS,"Pedestrian on skateboard injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609416,V00.831S,"Fall from motorized mobility scooter, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609415,V00.821A,"Fall from baby stroller, initial encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Observation,ICD10CM
